# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 0.85   YES   585 0.275   48.0     2.0    True      478  -32.0     530
  1    354   285 1.33   YES   138 0.650   28.0    10.2   False      489  -45.7     575
  2    322   334 1.11   YES    57 0.850   17.0     9.6   False      482   -5.3     442
  3    261    22 0.64   YES   131 0.525    7.0     7.9   False      472  -61.4     627
  4    320   318 0.67   YES    35 0.925    9.0    11.2   False      426   91.4     362
  5    261    39 0.62   YES   113 0.900   14.0     9.5   False      411   63.1     376
  6    312   332 0.77   YES    74 0.700    6.0     9.0   False      566  -57.2     613
  7    391   347 1.16    no     0     -    0.0    38.9   False      405   86.6     364
  8    326    64 0.80   YES    31 0.950    8.0    11.2   False      425   61.5     377
  9    276   202 1.10   YES   371 0.350   29.0     7.8   False      633 -105.1     772
 10    283   158 0.68   YES   103 0.600    8.0     9.4   False      571  -67.2     646
 11    403   345 0.91   YES    32 0.975   12.0    12.1   False      556  -25.0     507
 12    418    56 0.60    no     0     -    0.0    42.6   False      429   36.6     392
 13    341    20 1.16   YES    17 1.000    6.0    11.3   False      345   89.7     363
 14    453    99 0.77   YES     5 1.000    5.0    12.9   False      499  -49.6     588
 15    276   195 1.26   YES   181 0.600   41.0     9.4   False      637  -57.2     613
 16    358    68 0.68   YES    18 0.950    6.0    11.8   False      488   40.1     390
 17    257   178 0.72   YES   148 1.000    8.0     8.8   False      379   14.4     409
 18    270   245 1.17   YES    89 0.625    6.0     8.5   False      473  -25.4     508
 19    299   214 0.76   YES   108 0.750   22.0     9.2   False      564  -23.2     501
 20    347   354 0.64   YES    34 0.850    5.0    11.1   False      459   31.8     395
 21    265   217 1.31   YES   358 0.125   41.0     8.0   False      689 -104.5     770
 22    294   203 0.63   YES    50 0.800    6.0     9.8   False      544   46.2     386
 23    347   194 1.27   YES   103 0.500   16.0    10.1   False      562  -80.3     690
 24    361   133 1.09   YES    64 0.950   15.0    10.9   False      510   15.5     408
 25    381   270 1.21   YES     2 1.000    2.0    12.6   False      437   64.0     376
