# 1920x1080  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    132     0 0.85   YES   468 0.325   53.0     3.0    True      530  -32.2     531
  1    476   285 1.33   YES   115 0.950   20.0    12.5   False      570  -37.0     547
  2    417   334 1.11    no     0     -    0.0    15.4   False      604   -9.0     454
  3    347    22 0.64   YES    43 0.825    5.0    10.4   False      555  -44.6     572
  4    389   318 0.67    no     0     -    0.0    22.7   False      460   74.0     370
  5    330    39 0.62   YES    28 0.900    6.0    10.7   False      453   54.7     381
  6    327   332 0.77   YES    38 0.925    5.0    10.6   False      429    5.6     417
  7    317   347 1.16   YES   113 0.750   26.0    10.0   False      597  -21.0     494
  8    432    64 0.80    no     0     -    0.0    56.4   False      422   47.6     385
  9    359   202 1.10   YES   274 0.450   23.0     9.7   False      622  -83.2     699
 10    326   158 0.68   YES    63 0.775    9.0     9.7   False      589  -34.4     538
 11    499   345 0.91    no     0     -    0.0    77.6   False      511  -24.7     506
 12    553    56 0.60    no     0     -    0.0   172.1   False      434   28.6     398
 13    457    20 1.16    no     0     -    0.0    78.4   False      404   77.4     369
 14    580    99 0.77    no     0     -    0.0   126.8   False      537  -35.7     542
 15    336   195 1.26   YES   123 0.700   31.0     9.7   False      658  -53.0     599
 16    453    68 0.68    no     0     -    0.0    70.6   False      517   30.0     397
 17    339   178 0.72   YES    37 0.825    5.0    10.3   False      430   15.0     408
 18    348   245 1.17   YES    38 0.825    6.0    10.6   False      551  -18.3     485
 19    398   214 0.76   YES    50 0.975   20.0    12.1   False      601  -17.1     481
 20    434   354 0.64    no     0     -    0.0    28.6   False      492   27.2     399
 21    351   217 1.31   YES   167 0.500    8.0    10.3   False      708  -81.6     694
 22    357   203 0.63   YES    12 0.950    3.0    11.9   False      576   40.8     389
 23    453   194 1.27   YES    47 1.000    4.0    12.0   False      634  -72.4     664
 24    479   133 1.09    no     0     -    0.0    77.1   False      592   14.3     409
 25    490   270 1.21    no     0     -    0.0   125.3   False      512   53.3     382
 26    462    65 0.94    no     0     -    0.0    54.8   False      496   -8.0     451
 27    459   124 1.34    no     0     -    0.0   114.9   False      375  103.2     356
 28    586   242 1.01    no     0     -    0.0   187.1   False      575    3.3     420
 29    357   275 1.19   YES    17 0.950    4.0    10.9   False      535   19.1     405
 30    410   264 1.31    no     0     -    0.0    46.9   False      426   73.0     371
 31    531   199 1.19    no     0     -    0.0   173.8   False      540   87.9     363
 32    317   191 0.99   YES    28 0.975    5.0    10.3   False      603   68.1     373
 33    456   164 0.79    no     0     -    0.0    65.4   False      434   39.5     390
 34    401   159 1.04   YES    39 0.825    4.0    11.6   False      499  -58.1     616
 35    322   343 1.24   YES    61 0.850    9.0    10.3   False      530   35.0     393
 36    586   301 0.66    no     0     -    0.0   164.0   False      432   16.3     407
 37    508   264 0.83    no     0     -    0.0   118.4   False      414   30.2     396
 38    408    54 1.25   YES    19 0.950    7.0    12.4   False      662  -17.3     482
 39    316   291 0.97   YES   179 0.325   14.0     8.7   False      652  -61.4     627
 40    316   216 0.65   YES    36 0.850    5.0     9.7   False      546   20.1     404
 41    414   160 0.98   YES    15 0.925    4.0    12.2   False      676  -30.8     526
 42    386   169 1.21   YES     4 1.000    3.0    12.4   False      429   56.4     380
 43    329   179 1.21   YES    68 0.925   16.0    11.0   False      485   49.9     384
 44    492   209 0.68    no     0     -    0.0   113.2   False      399   34.2     394
 45    356    71 1.27   YES     8 1.000    4.0    12.3   False      536   70.7     372
 46    348   179 1.18   YES   125 0.500    8.0     9.7   False      632  -59.0     619
 47    500   259 0.74    no     0     -    0.0   117.1   False      493    9.5     413
 48    471   100 0.84   YES     7 1.000    5.0    12.6   False      575   -4.1     438
 49    421    15 1.16    no     0     -    0.0    53.1   False      470   48.2     385
 50    560   188 0.80   YES     1 1.000    1.0    12.5   False      616  -52.4     598
 51    328   177 1.10   YES    71 0.675    5.0     9.9   False      618  -56.7     612
