# 1920x1080  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    132     0 0.85   YES   468 0.325   53.0     3.0    True      530  -32.2     531
  1    476   285 1.33   YES   115 0.950   20.0    12.5   False      570  -37.0     547
  2    406   334 1.11   YES    12 1.000   12.0    12.2   False      604   -7.9     451
  3    347    22 0.64   YES    43 0.825    5.0    10.4   False      555  -44.6     572
  4    330   318 0.67   YES    29 0.925    9.0    11.2   False      443   81.5     367
  5    330    39 0.62   YES    28 0.900    6.0    10.7   False      453   54.7     381
  6    327   332 0.77   YES    38 0.925    5.0    10.6   False      429    5.6     417
  7    317   347 1.16   YES   113 0.750   26.0    10.0   False      597  -21.0     494
  8    346    64 0.80   YES    19 0.950    6.0    11.4   False      495   49.0     384
  9    359   202 1.10   YES   274 0.450   23.0     9.7   False      622  -83.2     699
 10    326   158 0.68   YES    63 0.775    9.0     9.7   False      589  -34.4     538
 11    456   345 0.91    no     0     -    0.0    21.7   False      549  -25.7     509
 12    345    56 0.60   YES    22 0.925    5.0    11.5   False      442   50.1     384
 13    332    20 1.16   YES    33 1.000    9.0    10.7   False      465   64.0     376
 14    460    99 0.77    no     0     -    0.0    27.5   False      469  -26.3     511
 15    336   195 1.26   YES   123 0.700   31.0     9.7   False      658  -53.0     599
 16    357    68 0.68   YES    22 0.925    6.0    11.5   False      517   26.5     399
 17    339   178 0.72   YES    37 0.825    5.0    10.3   False      430   15.0     408
 18    348   245 1.17   YES    38 0.825    6.0    10.6   False      551  -18.3     485
 19    398   214 0.76   YES    50 0.975   20.0    12.1   False      601  -17.1     481
 20    359   354 0.64   YES    29 0.900    5.0    10.8   False      472   15.3     408
 21    351   217 1.31   YES   167 0.500    8.0    10.3   False      708  -81.6     694
 22    350   203 0.63   YES    15 0.925    3.0    11.5   False      578   40.2     390
 23    453   194 1.27   YES    47 1.000    4.0    12.0   False      634  -72.4     664
 24    368   133 1.09   YES    48 0.975   14.0    11.5   False      579   14.2     409
 25    344   270 1.21   YES    21 0.925    4.0    11.3   False      473   39.9     390
 26    406    65 0.94   YES    31 1.000   19.0    12.2   False      516   -9.7     456
 27    316   124 1.34   YES    31 1.000    8.0    11.1   False      449  114.0     352
 28    373   242 1.01   YES   130 0.900   24.0    11.4   False      522    7.6     415
 29    357   275 1.19   YES    17 0.950    4.0    10.9   False      535   19.1     405
 30    331   264 1.31   YES    19 0.925    4.0    11.4   False      505   78.2     368
 31    321   199 1.19   YES    19 0.950    5.0    11.3   False      582  102.5     357
 32    317   191 0.99   YES    28 0.975    5.0    10.3   False      603   68.1     373
 33    345   164 0.79   YES    22 0.925    5.0    11.5   False      438   50.6     383
 34    401   159 1.04   YES    39 0.825    4.0    11.6   False      499  -58.1     616
 35    322   343 1.24   YES    61 0.850    9.0    10.3   False      530   35.0     393
 36    366   301 0.66   YES    20 0.975    7.0    11.9   False      448    8.4     414
 37    357   264 0.83   YES    22 0.900    5.0    11.2   False      592   30.3     396
 38    408    54 1.25   YES    19 0.950    7.0    12.4   False      662  -17.3     482
 39    316   291 0.97   YES   179 0.325   14.0     8.7   False      652  -61.4     627
 40    316   216 0.65   YES    36 0.850    5.0     9.7   False      546   20.1     404
 41    414   160 0.98   YES    15 0.925    4.0    12.2   False      676  -30.8     526
 42    342   169 1.21   YES    24 0.900    5.0    10.6   False      443   51.6     383
 43    329   179 1.21   YES    68 0.925   16.0    11.0   False      485   49.9     384
 44    348   209 0.68   YES    29 0.975    9.0    11.6   False      404   45.0     387
 45    335    71 1.27   YES    22 0.925    5.0    11.2   False      545   68.5     373
 46    348   179 1.18   YES   125 0.500    8.0     9.7   False      632  -59.0     619
 47    365   259 0.74   YES    50 0.850   13.0    11.3   False      495   18.6     405
 48    377   100 0.84   YES    56 0.800    8.0    11.6   False      504    3.4     420
 49    341    15 1.16   YES    22 0.975    7.0    11.5   False      479   58.3     379
