# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=1.0 tilt=2.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 1.70   YES   844 0.325   46.0     2.9    True      425  -20.2     429
  1    354   285 2.67   YES   173 0.725   37.0    10.4   False      512  -90.2     445
  2    322   334 2.21   YES    90 0.825   23.0     9.9   False      520  -35.7     432
  3    261    22 1.27   YES   241 0.425   38.0     8.8   False      497  -91.3     445
  4    316   318 1.34   YES    40 0.950   11.0    11.7   False      483  115.4     351
  5    261    39 1.23   YES    89 0.950   11.0     8.4   False      402  108.3     354
  6    312   332 1.54   YES   242 0.500   44.0     9.2   False      655 -107.3     448
  7    300   347 2.31   YES    32 1.000   11.0    10.3   False      381  161.3     333
  8    319    64 1.60   YES    29 0.950    7.0    10.7   False      381  106.7     355
  9    276   202 2.21   YES  1165 0.175  133.0     7.3   False      732 -186.5     466
 10    283   158 1.35   YES   237 0.100   14.0     8.4   False      600 -117.6     451
 11    389   345 1.83   YES    73 0.925   29.0    11.3   False      535  -38.2     433
 12    328    56 1.21   YES    20 0.925    5.0    11.3   False      416   84.8     365
 13    301    20 2.32   YES    34 1.000    9.0    10.7   False      353  151.8     336
 14    399    99 1.55   YES    96 0.825   10.0    11.3   False      553  -86.8     444
 15    276   195 2.52   YES   236 0.600   40.0     8.2   False      737 -113.9     450
 16    337    68 1.36   YES    28 0.950    9.0    11.3   False      494   63.0     376
 17    257   178 1.44   YES   158 0.725   11.0     8.9   False      364   60.1     378
 18    270   245 2.34   YES   178 0.650   20.0     9.1   False      557  -42.5     434
 19    299   214 1.52   YES   262 0.700   28.0     8.6   False      671  -60.4     438
 20    339   354 1.28   YES    63 0.950   12.0    10.9   False      435   60.7     378
 21    265   217 2.62   YES   569 0.150   56.0     7.8   False      689 -198.6     469
 22    294   203 1.27   YES    54 0.825    7.0    10.2   False      555   71.3     372
 23    347   194 2.55   YES   173 0.550   32.0     9.9   False      589 -145.1     457
 24    347   133 2.18   YES    49 0.975   16.0    11.6   False      487   47.1     385
 25    312   270 2.42   YES    37 0.950    8.0    10.9   False      425  115.2     351
 26    345    65 1.88   YES    84 0.875   23.0    10.7   False      571  -27.9     431
 27    279   124 2.68   YES    22 0.925    5.0    10.2   False      302  232.6     310
 28    372   242 2.02   YES    74 0.925   19.0    11.0   False      502    9.3     413
 29    279   275 2.38   YES    87 0.825    9.0     9.1   False      485   78.7     368
 30    295   264 2.62   YES    38 0.950    9.0    11.2   False      447  175.2     328
 31    286   199 2.39   YES    29 0.950    7.0    10.7   False      457  207.1     317
 32    295   191 1.98   YES    20 0.925    5.0    11.0   False      401  176.2     328
 33    324   164 1.58   YES    32 0.950    8.0    11.0   False      413   95.7     360
 34    306   159 2.09   YES   182 0.475   19.0     8.9   False      607 -118.1     451
 35    260   343 2.48   YES   143 0.775   20.0     8.9   False      554   61.2     377
 36    360   301 1.32   YES    26 0.975    8.0    12.0   False      516   22.3     402
 37    335   264 1.66   YES    33 0.925    7.0    10.6   False      485   64.8     375
 38    303    54 2.50   YES   242 0.700   34.0     9.1   False      615  -61.7     438
 39    259   291 1.94   YES   599 0.225   82.0     7.8   False      550 -143.3     456
 40    271   216 1.30   YES    51 0.775    7.0     9.5   False      423   87.9     363
 41    308   160 1.97   YES   255 0.500   21.0     8.8   False      656  -95.9     446
 42    300   169 2.41   YES    34 0.925    7.0    10.4   False      425  142.3     340
 43    269   179 2.43   YES   119 0.825   21.0     8.8   False      516   79.8     367
 44    324   209 1.35   YES    30 0.975    9.0    11.1   False      373   94.2     360
 45    293    71 2.54   YES    27 0.950    6.0    10.8   False      474  172.0     329
 46    259   179 2.36   YES   836 0.100   52.0     8.0   False      608 -157.0     459
 47    374   259 1.48   YES    40 0.950   15.0    12.0   False      498    6.8     416
 48    355   100 1.67   YES    81 0.775    8.0    10.3   False      665  -36.9     433
 49    312    15 2.31   YES    31 0.975    9.0    11.3   False      477  126.2     346
 50    406   188 1.60   YES   410 0.425   30.0    10.5   False      736 -121.3     451
 51    340   177 2.19   YES   236 0.525   23.0     9.4   False      654 -115.0     450
 52    282    97 1.25   YES    65 0.775    6.0     9.6   False      611   28.5     398
 53    329    20 1.61   YES    34 1.000   10.0    11.2   False      420   82.7     366
 54    342   195 1.26   YES    30 0.975    9.0    11.0   False      471   50.9     383
 55    303    59 2.30   YES    60 1.000   17.0    10.6   False      303  152.0     336
 56    282   338 1.57   YES   102 0.800   13.0     9.2   False      499   33.0     395
 57    375    66 2.66   YES    32 1.000   14.0    11.4   False      537   -5.3     426
 58    299   190 2.28   YES   238 0.375   21.0     8.5   False      679 -139.9     456
 59    332   278 2.70   YES   131 0.825   20.0    10.4   False      529  -44.5     434
 60    297    23 1.54   YES    75 0.900   12.0     9.5   False      382   80.7     367
 61    331    20 1.96   YES    41 0.975   13.0    10.7   False      455   79.5     368
 62    282   343 2.66   YES    53 0.925   11.0     9.7   False      348  169.3     330
 63    264     3 1.24   YES    55 0.925    7.0     9.3   False      369  122.1     348
 64    308   218 2.42   YES    39 0.950   10.0    11.3   False      344  132.6     344
 65    262    60 1.46   YES   159 0.600    6.0     7.5   False      667  -86.7     444
 66    304   116 2.43   YES    43 0.950   11.0    10.6   False      554  147.7     338
 67    288    57 2.61   YES   356 0.550   50.0     8.0   False      624 -153.2     459
 68    396   200 1.42   YES   166 0.825   42.0    11.5   False      681  -77.7     442
 69    305   180 2.67   YES    31 0.950    7.0    11.1   False      447  143.5     340
 70    337   291 1.43   YES   193 0.750   29.0    10.2   False      559  -71.7     440
 71    331   105 1.80   YES    92 0.900   18.0    10.3   False      532   -5.0     426
 72    261   349 1.57   YES   168 0.700   17.0     8.4   False      460   15.3     408
 73    305   192 2.64   YES    49 0.950   14.0    10.2   False      454  129.4     345
 74    291   136 1.22   YES   104 0.525    6.0     7.9   False      591  -64.7     439
 75    288   146 1.67   YES   450 0.425   66.0     8.5   False      603  -68.5     440
 76    308    10 1.31   YES   301 0.625   51.0     9.6   False      573  -62.4     438
 77    271    64 2.23   YES   408 0.600   68.0     8.5   False      671 -124.7     452
 78    312    65 2.35   YES   610 0.500   64.0     9.3   False      642 -139.8     456
 79    327   243 1.78   YES    75 0.800    7.0    10.1   False      540  -15.9     428
 80    282   353 1.93   YES   135 0.775   19.0     9.5   False      471   25.9     400
 81    288   135 1.54   YES   112 0.825   16.0     9.3   False      339   74.6     370
 82    320   211 1.78   YES    20 1.000    5.0    11.1   False      414  103.2     356
 83    394   220 1.31   YES   155 0.800   32.0    11.9   False      575  -58.4     437
 84    271    90 1.23   YES   143 0.925    8.0     8.4   False      445   23.7     401
 85    301    66 1.92   YES    18 0.925    4.0    11.4   False      385  155.9     335
 86    262    38 2.29   YES   654 0.275   74.0     8.3   False      742 -177.6     464
 87    410   298 1.57   YES   618 0.175   52.0    10.9   False      634 -159.8     460
 88    352    97 2.70   YES   205 0.750   35.0     9.3   False      658 -125.8     452
 89    325    39 1.63   YES    25 0.975    8.0    11.2   False      361   92.6     361
 90    313    54 1.27   YES    46 0.875    7.0    10.0   False      395   47.0     385
 91    373   358 1.34   YES    38 0.925    7.0    11.8   False      505    7.8     415
 92    304   177 2.28   YES   202 0.775   27.0     9.8   False      453  -20.3     429
 93    315    20 2.39   YES   103 0.800   19.0     9.9   False      523   -2.7     425
 94    306   240 2.09   YES    19 0.950    5.0    11.1   False      401  134.9     343
 95    303   317 2.12   YES    23 0.950    6.0    11.1   False      303  150.7     337
 96    261    72 2.57   YES   140 0.775   20.0     7.8   False      445   18.3     405
 97    315   174 2.37   YES    49 0.975   11.0    10.6   False      455   97.8     359
 98    389    81 1.64   YES    63 0.875   13.0    11.6   False      555  -33.9     432
 99    330    38 2.41   YES   460 0.650   40.0     9.7   False      573 -115.7     450
100    280   221 2.25   YES    46 0.875    7.0    10.6   False      338  140.7     341

SOLVABLE 101/101 = 100.0%
aim tolerance on solvable rounds: min 4.0deg  median 13.0deg  max 133.0deg
