# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=1.5 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 0.85   YES   640 0.275   50.0     4.1    True      478  -53.8     436
  1    354   285 1.33   YES   124 0.650   28.0    10.0   False      482  -46.3     435
  2    322   334 1.11   YES    45 0.875   12.0    10.3   False      473    7.2     416
  3    261    22 0.64   YES   211 0.400   16.0     8.3   False      469  -77.1     442
  4    310   318 0.67   YES    31 0.925    8.0    11.0   False      424  132.3     344
  5    261    39 0.62   YES   122 0.900   15.0     8.9   False      419   72.0     371
  6    312   332 0.77   YES    84 0.725    9.0     9.6   False      564  -60.7     438
  7    320   347 1.16   YES    23 1.000    9.0    11.5   False      386  104.0     356
  8    326    64 0.80   YES    25 0.950    7.0    10.2   False      438   70.0     372
  9    276   202 1.10   YES   332 0.425   30.0     8.0   False      621 -117.0     451
 10    283   158 0.68   YES   109 0.625   12.0     8.6   False      570  -75.5     441
 11    388   345 0.91   YES    34 0.925   12.0    12.1   False      547  -35.8     432
 12    351    56 0.60   YES    28 0.950   13.0    11.5   False      446   39.9     390
 13    322    20 1.16   YES    37 1.000   10.0    10.8   False      345   95.4     360
 14    389    99 0.77   YES    54 0.975   12.0    11.3   False      463  -36.4     433
 15    276   195 1.26   YES   174 0.625   46.0     8.9   False      632  -57.5     437
 16    347    68 0.68   YES    20 0.925    6.0    11.8   False      517   44.3     387
 17    257   178 0.72   YES   163 1.000   15.0     8.0   False      377   -1.3     425
 18    270   245 1.17   YES    86 0.650    6.0     8.0   False      469  -29.5     431
 19    299   214 0.76   YES   142 0.775   20.0     9.1   False      553  -16.2     428
 20    347   354 0.64   YES    46 0.825    7.0    10.8   False      471   32.5     395
 21    265   217 1.31   YES   292 0.350   14.0     8.3   False      689 -109.8     449
 22    294   203 0.63   YES    43 0.950    5.0     8.8   False      562   56.8     380
 23    347   194 1.27   YES    78 0.525    6.0     9.9   False      521  -88.0     444
 24    361   133 1.09   YES    73 0.950   17.0    11.2   False      512    7.4     415
 25    337   270 1.21   YES    20 0.950    4.0    11.6   False      423   58.2     379
 26    345    65 0.94   YES    47 0.900   16.0    11.3   False      499   -0.9     425
 27    308   124 1.34   YES    29 1.000    8.0    10.4   False      423  137.4     342
 28    354   242 1.01   YES    90 0.850   16.0    11.2   False      475   35.0     393
 29    279   275 1.19   YES    61 0.875    6.0     9.2   False      451   22.9     402
 30    321   264 1.31   YES    19 0.925    4.0    10.5   False      510  102.5     357
 31    300   199 1.19   YES    23 0.925    5.0    10.2   False      454  158.8     334
 32    316   191 0.99   YES    25 0.950    7.0    11.6   False      400  114.6     351
 33    343   164 0.79   YES    28 0.950    7.0    11.5   False      413   47.1     385
 34    306   159 1.04   YES    83 0.650    5.0     9.5   False      597  -75.4     441
 35    260   343 1.24   YES   128 0.725    7.0     8.2   False      483   44.1     387
 36    359   301 0.66   YES    18 1.000    6.0    12.0   False      487   22.0     403
 37    351   264 0.83   YES    27 0.925    8.0    11.1   False      496   32.3     395
 38    303    54 1.25   YES    60 0.750    7.0    10.0   False      546   -1.7     425
 39    259   291 0.97   YES   390 0.250   63.0     8.2   False      549  -73.3     441
 40    271   216 0.65   YES    56 0.800    5.0     9.1   False      433   52.5     382
 41    308   160 0.98   YES    56 0.775    5.0     9.1   False      606  -23.2     430
 42    300   169 1.21   YES    40 0.800    4.0     9.3   False      450   56.0     380
 43    269   179 1.21   YES   114 0.800   19.0     9.6   False      493   75.7     369
 44    354   209 0.68   YES    27 1.000   11.0    11.3   False      420   35.3     393
 45    293    71 1.27   YES    37 0.825    5.0    10.3   False      474   84.3     365
 46    259   179 1.18   YES   166 0.450    9.0     8.7   False      608  -59.5     438
 47    359   259 0.74   YES    45 0.900   19.0    11.9   False      458   26.1     399
 48    355   100 0.84   YES    52 0.800    7.0    11.2   False      535   19.3     405
 49    322    15 1.16   YES    32 0.975    8.0    10.5   False      475   59.2     378
 50    395   188 0.80   YES    94 0.800   18.0    11.2   False      702  -67.4     439
 51    340   177 1.10   YES    46 0.800    4.0    10.2   False      653  -50.3     436
 52    282    97 0.63   YES    69 0.800    8.0     9.3   False      572   27.7     398
 53    361    20 0.81   YES    26 1.000    8.0    11.5   False      448   16.6     407
 54    360   195 0.63   YES    25 1.000    9.0    11.1   False      456   18.3     406
 55    321    59 1.15   YES    31 0.900    7.0    10.8   False      408   83.9     365
 56    282   338 0.78   YES    79 0.775    8.0     9.5   False      439   21.0     403
 57    375    66 1.33   YES    16 1.000    6.0    12.0   False      507    0.5     423
 58    299   190 1.14   YES    71 0.700    5.0     8.3   False      564  -44.5     434
 59    332   278 1.35   YES   112 0.800   15.0    10.1   False      548  -23.1     430
 60    297    23 0.77   YES   107 0.800   15.0     9.3   False      393   23.1     402
 61    334    20 0.98   YES    59 0.925   13.0    10.5   False      376   34.6     393
 62    282   343 1.33   YES    95 0.825   12.0     9.4   False      369   79.6     367
 63    264     3 0.62   YES    70 0.875    9.0     8.6   False      425   91.8     362
 64    335   218 1.21   YES    34 0.925    8.0    10.8   False      373   70.0     372
 65    262    60 0.73   YES    91 0.750    6.0     8.4   False      556  -21.2     429
 66    312   116 1.22   YES    31 1.000    8.0    11.2   False      556  125.0     347
 67    288    57 1.30   YES   332 0.575   51.0     7.9   False      539  -97.9     446
 68    386   200 0.71   YES    19 1.000    6.0    11.8   False      471  -22.1     429
 69    317   180 1.33   YES    33 1.000    6.0    10.9   False      452   55.2     381
 70    337   291 0.71   YES   141 0.775   19.0    10.1   False      508  -47.5     435
 71    331   105 0.90   YES   113 0.850   17.0    10.6   False      500  -27.4     431
 72    261   349 0.79   YES   101 0.625    6.0     8.4   False      428  -10.8     427
 73    305   192 1.32   YES    40 0.875   12.0    10.0   False      451   86.4     364
 74    291   136 0.61   YES    66 0.700    5.0     8.8   False      564  -11.3     427
 75    288   146 0.84   YES    66 0.875    5.0     8.3   False      585  -28.3     431
 76    308    10 0.65   YES    64 0.875    5.0     9.7   False      485  -45.7     435
 77    271    64 1.12   YES   161 0.700   18.0     8.7   False      537  -69.4     440
 78    312    65 1.18   YES   450 0.525   40.0     9.0   False      642  -96.7     446
 79    327   243 0.89   YES    29 0.875    4.0     9.9   False      408   -7.2     426
 80    282   353 0.97   YES    99 0.750   16.0     8.8   False      474   24.4     401
 81    288   135 0.77   YES    94 0.750    9.0     9.7   False      406   35.7     393
 82    359   211 0.89   YES    17 0.950    4.0    11.9   False      444   27.2     399
 83    389   220 0.66   YES    29 0.900    6.0    11.2   False      547  -35.1     432
 84    271    90 0.62   YES   165 0.525   12.0     8.7   False      401  -26.4     430
 85    325    66 0.96   YES    21 0.975    5.0    11.3   False      428   92.6     361
 86    262    38 1.15   YES   378 0.450   27.0     8.6   False      730 -101.8     447
 87    408   298 0.79   YES   481 0.200   35.0    11.1   False      572 -129.4     453
 88    352    97 1.35   YES    49 0.800    7.0     9.7   False      555  -73.4     441
 89    356    39 0.81   YES    17 1.000    7.0    11.7   False      404   32.0     395
 90    313    54 0.64   YES    48 1.000    5.0    10.0   False      410   -9.7     427
 91    360   358 0.67   YES    12 1.000    4.0    11.3   False      447   24.9     400
 92    304   177 1.14   YES   237 0.750   26.0    10.2   False      443  -12.1     427
 93    315    20 1.20   YES    48 0.775    7.0    10.7   False      548   21.3     403
 94    306   240 1.05   YES    35 1.000    6.0    10.6   False      437   52.1     382
 95    312   317 1.06   YES    29 0.900    5.0    10.0   False      373   90.9     362
 96    261    72 1.29   YES   124 0.725   20.0     9.0   False      449  -22.0     429
 97    362   174 1.18   YES    76 0.975   13.0    11.2   False      466   21.7     403
 98    379    81 0.82   YES    16 0.975    4.0    11.8   False      447    2.4     421
 99    330    38 1.21   YES    51 0.775    5.0     9.3   False      547  -71.6     440
100    280   221 1.13   YES    49 0.825    5.0     8.4   False      387   67.9     374

SOLVABLE 101/101 = 100.0%
aim tolerance on solvable rounds: min 4.0deg  median 8.0deg  max 63.0deg
