# 390x844  narrow=True  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=1.0 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0     58     0 0.85   YES  1018 0.150   53.0     2.1    True      286  -26.0     430
  1    131   285 1.33   YES   369 0.325   33.0     4.6    True      257 -107.3     448
  2    127   334 1.11   YES   280 0.425   30.0     3.5    True      214   17.8     406
  3    141    22 0.64   YES  2081 0.325   99.0     4.6    True      289 -110.3     449
  4    147   318 0.67   YES   194 0.575   16.0     5.3    True      253  192.3     322
  5    159    39 0.62   YES   191 0.600   13.0     7.2    True      286  134.9     343
  6    142   332 0.77   YES  2035 0.175  154.0     4.6    True      334 -117.4     451
  7    173   347 1.16   YES   232 0.675   17.0     5.4    True      271  184.1     325
  8    130    64 0.80   YES   244 0.625   14.0     4.1    True      251  138.5     341
  9    118   202 1.10   YES  1062 0.100   60.0     2.9    True      322 -250.5     480
 10    117   158 0.68   YES  2433 0.100  149.0     3.2    True      314 -176.5     464
 11    177   345 0.91   YES   256 0.475   29.0     3.4    True      304  -32.6     432
 12    120    56 0.60   YES   356 0.600   11.0     2.7    True      262   50.3     384
 13    127    20 1.16   YES   386 0.675   24.0     4.5    True      262  200.1     320
 14    192    99 0.77   YES   303 0.400   18.0     6.2    True      353 -141.0     456
 15    132   195 1.26   YES   494 0.375   57.0     4.3    True      339 -122.6     452
 16    152    68 0.68   YES   244 0.525   15.0     3.3    True      300  113.5     352
 17    140   178 0.72   YES   746 0.425   51.0     3.1    True      237   39.7     390
 18    117   245 1.17   YES   551 0.350   13.0     1.9    True      325  -68.2     440
 19    117   214 0.76   YES   451 0.350   31.0     3.0    True      275  -53.5     436
 20    155   354 0.64   YES   238 0.400   21.0     3.8    True      311   78.6     368
 21    133   217 1.31   YES   473 0.550   25.0     4.4    True      216  180.1     326
 22    134   203 0.63   YES   222 0.775   11.0     4.4    True      272   90.5     362
 23    141   194 1.27   YES   343 0.325   37.0     4.1    True      252 -173.5     463
 24    145   133 1.09   YES   330 0.475   29.0     4.7    True      322   23.4     401
 25    158   270 1.21   YES   200 0.975   14.0     5.2    True      272  150.9     337
